城市编码,城市,大类,中类,小类,名称,经度,纬度
450100,南宁市,公司企业,公司,广告装饰,品雅装饰,108.271849,22.824303
450100,南宁市,公司企业,公司,广告装饰,南宁领跑标识,108.217857,22.801879
450100,南宁市,公司企业,公司,广告装饰,信艺装饰,108.613362,23.419991
450100,南宁市,公司企业,公司,广告装饰,意林广告,108.300163,22.835140
450100,南宁市,公司企业,公司,广告装饰,青青广告(西宁路店),108.228935,22.833487
450100,南宁市,公司企业,公司,广告装饰,艺婷装饰,108.259574,23.157401
450100,南宁市,公司企业,公司,广告装饰,江南聚星装饰设计,108.344049,22.864515
450100,南宁市,公司企业,公司,广告装饰,广西吾家装饰工程有限公司,108.174254,23.186061
450100,南宁市,公司企业,公司,广告装饰,鹿遇森林装饰公司,108.298847,23.141553
450100,南宁市,公司企业,公司,广告装饰,弘途图文广告,108.408433,22.743113
450100,南宁市,公司企业,公司,广告装饰,南宁市中豪广告发光字工厂,108.338575,22.721236
450100,南宁市,公司企业,公司,广告装饰,华幸图文广告,108.438049,22.806010
450100,南宁市,公司企业,公司,广告装饰,鑫炎图文广告,108.444562,22.776973
450100,南宁市,公司企业,公司,建筑公司,广西建工第一建筑工程集团有限公司第一分公司,108.282034,22.830029
450100,南宁市,公司企业,公司,建筑公司,广西建工集团第三建筑工程有限责任公司南宁分公司(望州路),108.340401,22.847447
450100,南宁市,公司企业,公司,建筑公司,广西建工集团控股有限公司(友爱北路),108.304509,22.849675
450100,南宁市,公司企业,公司,建筑公司,中国能建广西电力工程建设公司,108.264565,22.858670
450100,南宁市,公司企业,公司,建筑公司,广西路桥工程集团有限公司(路面分公司),108.353251,22.842619
450100,南宁市,公司企业,公司,建筑公司,广西建工集团一建第二分公司,108.315569,22.836167
450100,南宁市,公司企业,公司,建筑公司,广西建工集团有限责任公司,108.383335,22.752153
450100,南宁市,公司企业,公司,建筑公司,广西中建西部建设有限公司(混凝土公司),108.322278,22.896444
450100,南宁市,公司企业,公司,建筑公司,三建大院,108.340131,22.847066
450100,南宁市,公司企业,公司,建筑公司,宁铁建筑,108.305789,22.831185
450100,南宁市,公司企业,公司,建筑公司,广西建工集团建筑工程总承包有限公司,108.319435,22.819373
450100,南宁市,公司企业,公司,建筑公司,广西星都建筑科技有限公司,108.303262,22.761747
450100,南宁市,公司企业,公司,建筑公司,广西建工集团第二建筑工程有限责任公司(第三分公司),108.344830,22.815860
450100,南宁市,公司企业,公司,建筑公司,广西瑞宇技术有限公司,108.292572,22.752940
450100,南宁市,公司企业,公司,建筑公司,中建西部建设广西公司屹桂厂,108.374619,22.678218
450100,南宁市,公司企业,公司,建筑公司,天河建设集团,108.378353,22.799086
450100,南宁市,公司企业,公司,建筑公司,广西建工第一建筑工程集团有限公司第四分公司,108.282712,22.796820
450100,南宁市,公司企业,公司,建筑公司,广西先锋建设工程有限公司,108.324322,22.844852
450100,南宁市,公司企业,公司,建筑公司,南宁市建筑安装工程集团有限公司,108.315073,22.824080
450100,南宁市,公司企业,公司,建筑公司,中国能源建设集团广西水电工程局有限公司,108.339928,22.849393
450100,南宁市,公司企业,公司,建筑公司,广西建工集团第一安装有限公司第二分公司,108.306425,22.795625
450100,南宁市,公司企业,公司,建筑公司,广西交建工程建设集团有限公司,108.249760,22.868459
450100,南宁市,公司企业,公司,建筑公司,中铁二十五局集团广西北部湾建设有限公司,108.310917,22.828551
450100,南宁市,公司企业,公司,建筑公司,广西华宁建建筑科技有限公司,108.299078,22.751328
450100,南宁市,公司企业,公司,建筑公司,广西宏冠工程咨询有限公司,108.398725,22.806673
450100,南宁市,公司企业,公司,建筑公司,广西广安居建设集团有限公司,108.363866,22.832552
450100,南宁市,公司企业,公司,建筑公司,广西路桥工程集团有限公司市政分公司,108.383725,22.751475
450100,南宁市,公司企业,公司,建筑公司,南宁市三建集团有限公司,108.329277,22.835665
450100,南宁市,公司企业,公司,建筑公司,广西桂信建设工程有限公司,108.245184,22.816860
450100,南宁市,公司企业,公司,建筑公司,广西建工集团建筑工程总承包有限公司直属分公司(公司基地),108.299186,22.817574
450100,南宁市,公司企业,公司,建筑公司,广西地矿建设集团有限公司,108.388023,22.766880
